Date,Australia
"Dec 31, 1969",100.000
"Jan 30, 1970",96.920
"Feb 27, 1970",95.850
"Mar 31, 1970",95.580
"Apr 30, 1970",84.930
"May 29, 1970",79.470
"Jun 30, 1970",89.790
"Jul 31, 1970",92.700
"Aug 31, 1970",92.040
"Sep 30, 1970",92.220
"Oct 30, 1970",83.820
"Nov 30, 1970",79.770
"Dec 31, 1970",80.810
"Jan 29, 1971",79.040
"Feb 26, 1971",77.620
"Mar 31, 1971",81.960
"Apr 30, 1971",79.030
"May 31, 1971",76.870
"Jun 30, 1971",77.640
"Jul 30, 1971",74.590
"Aug 31, 1971",72.110
"Sep 30, 1971",65.040
"Oct 29, 1971",65.390
"Nov 30, 1971",64.460
"Dec 31, 1971",79.500
"Jan 31, 1972",77.070
"Feb 29, 1972",85.020
"Mar 31, 1972",87.900
"Apr 28, 1972",86.270
"May 31, 1972",90.090
"Jun 30, 1972",92.600
"Jul 31, 1972",87.460
"Aug 31, 1972",88.080
"Sep 29, 1972",85.360
"Oct 31, 1972",90.650
"Nov 30, 1972",93.600
"Dec 29, 1972",96.270
"Jan 31, 1973",99.530
"Feb 28, 1973",100.730
"Mar 30, 1973",100.650
"Apr 30, 1973",94.410
"May 31, 1973",102.360
"Jun 29, 1973",99.950
"Jul 31, 1973",101.920
"Aug 31, 1973",90.850
"Sep 28, 1973",88.110
"Oct 31, 1973",93.370
"Nov 30, 1973",85.510
"Dec 31, 1973",84.610
"Jan 31, 1974",95.800
"Feb 28, 1974",104.750
"Mar 29, 1974",98.390
"Apr 30, 1974",94.830
"May 31, 1974",81.110
"Jun 28, 1974",76.290
"Jul 31, 1974",64.470
"Aug 30, 1974",63.320
"Sep 30, 1974",44.830
"Oct 31, 1974",56.270
"Nov 29, 1974",58.690
"Dec 31, 1974",56.470
"Jan 31, 1975",69.590
"Feb 28, 1975",71.010
"Mar 31, 1975",69.790
"Apr 30, 1975",68.710
"May 30, 1975",75.840
"Jun 30, 1975",73.770
"Jul 31, 1975",72.410
"Aug 29, 1975",70.010
"Sep 30, 1975",74.870
"Oct 31, 1975",77.160
"Nov 28, 1975",82.540
"Dec 31, 1975",85.210
"Jan 30, 1976",86.790
"Feb 27, 1976",88.330
"Mar 31, 1976",86.370
"Apr 30, 1976",88.500
"May 31, 1976",89.520
"Jun 30, 1976",90.810
"Jul 30, 1976",100.190
"Aug 31, 1976",100.010
"Sep 30, 1976",92.050
"Oct 29, 1976",86.640
"Nov 30, 1976",68.530
"Dec 31, 1976",76.550
"Jan 31, 1977",78.000
"Feb 28, 1977",75.750
"Mar 31, 1977",80.330
"Apr 29, 1977",79.530
"May 31, 1977",83.210
"Jun 30, 1977",83.050
"Jul 29, 1977",78.610
"Aug 31, 1977",74.900
"Sep 30, 1977",74.970
"Oct 31, 1977",80.630
"Nov 30, 1977",78.570
"Dec 30, 1977",85.760
"Jan 31, 1978",81.690
"Feb 28, 1978",77.310
"Mar 31, 1978",81.810
"Apr 28, 1978",87.160
"May 31, 1978",91.530
"Jun 30, 1978",91.380
"Jul 31, 1978",97.580
"Aug 31, 1978",103.850
"Sep 29, 1978",108.330
"Oct 31, 1978",103.650
"Nov 30, 1978",98.390
"Dec 29, 1978",104.620
"Jan 31, 1979",108.970
"Feb 28, 1979",112.660
"Mar 30, 1979",114.160
"Apr 30, 1979",110.390
"May 31, 1979",113.910
"Jun 29, 1979",112.440
"Jul 31, 1979",116.090
"Aug 31, 1979",130.210
"Sep 28, 1979",139.380
"Oct 31, 1979",137.550
"Nov 30, 1979",133.990
"Dec 31, 1979",150.590
"Jan 31, 1980",181.900
"Feb 29, 1980",186.780
"Mar 31, 1980",152.990
"Apr 30, 1980",163.870
"May 30, 1980",187.060
"Jun 30, 1980",201.230
"Jul 31, 1980",201.270
"Aug 29, 1980",213.060
"Sep 30, 1980",225.850
"Oct 31, 1980",240.960
"Nov 28, 1980",234.590
"Dec 31, 1980",232.720
"Jan 30, 1981",208.560
"Feb 27, 1981",200.230
"Mar 31, 1981",221.370
"Apr 30, 1981",219.010
"May 29, 1981",217.440
"Jun 30, 1981",214.090
"Jul 31, 1981",190.480
"Aug 31, 1981",191.820
"Sep 30, 1981",174.120
"Oct 30, 1981",164.020
"Nov 30, 1981",180.040
"Dec 31, 1981",177.370
"Jan 29, 1982",157.960
"Feb 26, 1982",141.240
"Mar 31, 1982",130.580
"Apr 30, 1982",147.370
"May 31, 1982",145.420
"Jun 30, 1982",132.820
"Jul 30, 1982",128.270
"Aug 31, 1982",131.040
"Sep 30, 1982",134.130
"Oct 29, 1982",134.060
"Nov 30, 1982",132.300
"Dec 31, 1982",137.520
"Jan 31, 1983",151.900
"Feb 28, 1983",140.370
"Mar 31, 1983",131.810
"Apr 29, 1983",153.120
"May 31, 1983",163.620
"Jun 30, 1983",159.080
"Jul 29, 1983",179.120
"Aug 31, 1983",185.870
"Sep 30, 1983",194.260
"Oct 31, 1983",191.420
"Nov 30, 1983",209.640
"Dec 30, 1983",214.710
"Jan 31, 1984",214.130
"Feb 29, 1984",206.820
"Mar 30, 1984",215.040
"Apr 30, 1984",213.280
"May 31, 1984",179.110
"Jun 29, 1984",177.000
"Jul 31, 1984",177.400
"Aug 31, 1984",195.400
"Sep 28, 1984",193.120
"Oct 31, 1984",200.380
"Nov 30, 1984",201.990
"Dec 31, 1984",187.770
"Jan 31, 1985",199.520
"Feb 28, 1985",180.570
"Mar 29, 1985",185.400
"Apr 30, 1985",182.780
"May 31, 1985",187.150
"Jun 28, 1985",188.190
"Jul 31, 1985",222.050
"Aug 30, 1985",215.530
"Sep 30, 1985",230.320
"Oct 31, 1985",238.000
"Nov 29, 1985",223.950
"Dec 31, 1985",227.240
"Jan 31, 1986",256.530
"Feb 28, 1986",242.210
"Mar 31, 1986",268.650
"Apr 30, 1986",297.210
"May 30, 1986",298.490
"Jun 30, 1986",266.020
"Jul 31, 1986",224.020
"Aug 29, 1986",240.010
"Sep 30, 1986",261.390
"Oct 31, 1986",295.190
"Nov 28, 1986",299.690
"Dec 31, 1986",327.060
"Jan 30, 1987",331.260
"Feb 27, 1987",372.070
"Mar 31, 1987",412.240
"Apr 30, 1987",426.480
"May 29, 1987",440.970
"Jun 30, 1987",450.860
"Jul 31, 1987",502.130
"Aug 31, 1987",549.690
"Sep 30, 1987",570.240
"Oct 30, 1987",316.430
"Nov 30, 1987",348.050
"Dec 31, 1987",360.900
"Jan 29, 1988",339.120
"Feb 29, 1988",342.810
"Mar 31, 1988",402.610
"Apr 29, 1988",428.170
"May 31, 1988",492.530
"Jun 30, 1988",477.040
"Jul 29, 1988",506.940
"Aug 31, 1988",493.690
"Sep 30, 1988",478.540
"Oct 31, 1988",512.380
"Nov 30, 1988",502.090
"Dec 30, 1988",498.570
"Jan 31, 1989",545.030
"Feb 28, 1989",463.800
"Mar 31, 1989",472.840
"Apr 28, 1989",480.040
"May 31, 1989",468.070
"Jun 30, 1989",473.440
"Jul 31, 1989",515.610
"Aug 31, 1989",559.610
"Sep 29, 1989",559.550
"Oct 31, 1989",536.850
"Nov 30, 1989",524.880
"Dec 29, 1989",553.110
"Jan 31, 1990",549.580
"Feb 28, 1990",512.360
"Mar 30, 1990",500.260
"Apr 30, 1990",467.310
"May 31, 1990",510.990
"Jun 29, 1990",533.880
"Jul 31, 1990",560.330
"Aug 31, 1990",552.400
"Sep 28, 1990",521.810
"Oct 31, 1990",474.440
"Nov 30, 1990",475.980
"Dec 31, 1990",464.500
"Jan 31, 1991",492.160
"Feb 28, 1991",528.950
"Mar 29, 1991",537.620
"Apr 30, 1991",580.900
"May 31, 1991",564.440
"Jun 28, 1991",572.020
"Jul 31, 1991",608.300
"Aug 30, 1991",604.610
"Sep 30, 1991",627.880
"Oct 31, 1991",660.760
"Nov 29, 1991",628.020
"Dec 31, 1991",629.960
"Jan 31, 1992",613.220
"Feb 28, 1992",617.990
"Mar 31, 1992",622.780
"Apr 30, 1992",645.230
"May 29, 1992",656.120
"Jun 30, 1992",634.420
"Jul 31, 1992",620.400
"Aug 31, 1992",572.030
"Sep 30, 1992",548.250
"Oct 30, 1992",515.310
"Nov 30, 1992",519.560
"Dec 31, 1992",568.480
"Jan 29, 1993",550.870
"Feb 26, 1993",593.710
"Mar 31, 1993",617.630
"Apr 30, 1993",622.140
"May 31, 1993",611.670
"Jun 30, 1993",598.290
"Jul 30, 1993",657.610
"Aug 31, 1993",685.950
"Sep 30, 1993",669.240
"Oct 29, 1993",745.500
"Nov 30, 1993",699.380
"Dec 31, 1993",776.250
"Jan 31, 1994",859.870
"Feb 28, 1994",816.670
"Mar 31, 1994",757.410
"Apr 29, 1994",785.460
"May 31, 1994",823.660
"Jun 30, 1994",781.970
"Jul 29, 1994",822.400
"Aug 31, 1994",862.050
"Sep 30, 1994",816.390
"Oct 31, 1994",839.500
"Nov 30, 1994",808.460
"Dec 30, 1994",826.570
"Jan 31, 1995",777.450
"Feb 28, 1995",802.990
"Mar 31, 1995",795.510
"Apr 28, 1995",849.900
"May 31, 1995",831.330
"Jun 30, 1995",822.780
"Jul 31, 1995",900.210
"Aug 31, 1995",917.720
"Sep 29, 1995",912.760
"Oct 31, 1995",890.890
"Nov 30, 1995",910.130
"Dec 29, 1995",929.580
"Jan 31, 1996",958.400
"Feb 29, 1996",989.680
"Mar 29, 1996",986.220
"Apr 30, 1996","1,035.630"
"May 31, 1996","1,028.640"
"Jun 28, 1996",995.660
"Jul 31, 1996",949.940
"Aug 30, 1996","1,011.750"
"Sep 30, 1996","1,013.650"
"Oct 31, 1996","1,053.490"
"Nov 29, 1996","1,097.510"
"Dec 31, 1996","1,095.370"
"Jan 31, 1997","1,051.780"
"Feb 28, 1997","1,083.080"
"Mar 31, 1997","1,080.150"
"Apr 30, 1997","1,110.390"
"May 30, 1997","1,131.570"
"Jun 30, 1997","1,169.450"
"Jul 31, 1997","1,161.250"
"Aug 29, 1997","1,082.210"
"Sep 30, 1997","1,134.920"
"Oct 31, 1997",982.550
"Nov 28, 1997",962.610
"Dec 31, 1997",991.090
"Jan 30, 1998","1,057.420"
"Feb 27, 1998","1,076.740"
"Mar 31, 1998","1,080.840"
"Apr 30, 1998","1,065.600"
"May 29, 1998","1,005.080"
"Jun 30, 1998","1,008.030"
"Jul 31, 1998","1,002.530"
"Aug 31, 1998",867.470
"Sep 30, 1998",925.420
"Oct 30, 1998","1,005.390"
"Nov 30, 1998","1,068.520"
"Dec 31, 1998","1,061.050"
"Jan 29, 1999","1,125.750"
"Feb 26, 1999","1,097.990"
"Mar 31, 1999","1,144.930"
"Apr 30, 1999","1,263.020"
"May 31, 1999","1,160.050"
"Jun 30, 1999","1,218.620"
"Jul 30, 1999","1,218.530"
"Aug 31, 1999","1,150.760"
"Sep 30, 1999","1,156.240"
"Oct 29, 1999","1,130.240"
"Nov 30, 1999","1,191.040"
"Dec 31, 1999","1,259.140"
"Jan 31, 2000","1,214.670"
"Feb 29, 2000","1,186.910"
"Mar 31, 2000","1,177.430"
"Apr 28, 2000","1,146.550"
"May 31, 2000","1,106.650"
"Jun 30, 2000","1,268.220"
"Jul 31, 2000","1,191.940"
"Aug 31, 2000","1,205.440"
"Sep 29, 2000","1,153.270"
"Oct 31, 2000","1,079.840"
"Nov 30, 2000","1,104.710"
"Dec 29, 2000","1,144.740"
"Jan 31, 2001","1,190.980"
"Feb 28, 2001","1,137.810"
"Mar 30, 2001","1,018.790"
"Apr 30, 2001","1,138.830"
"May 31, 2001","1,145.560"
"Jun 29, 2001","1,183.700"
"Jul 31, 2001","1,122.630"
"Aug 31, 2001","1,129.910"
"Sep 28, 2001",989.590
"Oct 31, 2001","1,077.370"
"Nov 30, 2001","1,161.790"
"Dec 31, 2001","1,175.190"
"Jan 31, 2002","1,178.380"
"Feb 28, 2002","1,186.130"
"Mar 29, 2002","1,228.460"
"Apr 30, 2002","1,213.410"
"May 31, 2002","1,289.580"
"Jun 28, 2002","1,227.990"
"Jul 31, 2002","1,135.960"
"Aug 30, 2002","1,164.470"
"Sep 30, 2002","1,101.350"
"Oct 31, 2002","1,161.260"
"Nov 29, 2002","1,193.910"
"Dec 31, 2002","1,171.920"
"Jan 31, 2003","1,193.010"
"Feb 28, 2003","1,177.560"
"Mar 31, 2003","1,221.820"
"Apr 30, 2003","1,318.800"
"May 30, 2003","1,364.030"
"Jun 30, 2003","1,419.680"
"Jul 31, 2003","1,415.240"
"Aug 29, 2003","1,450.790"
"Sep 30, 2003","1,509.560"
"Oct 31, 2003","1,637.490"
"Nov 28, 2003","1,634.580"
"Dec 31, 2003","1,773.780"
"Jan 30, 2004","1,771.310"
"Feb 27, 2004","1,855.500"
"Mar 31, 2004","1,884.600"
"Apr 30, 2004","1,773.540"
"May 31, 2004","1,785.290"
"Jun 30, 2004","1,784.990"
"Jul 30, 2004","1,790.770"
"Aug 31, 2004","1,827.340"
"Sep 30, 2004","1,949.230"
"Oct 29, 2004","2,066.440"
"Nov 30, 2004","2,244.280"
"Dec 31, 2004","2,340.570"
"Jan 31, 2005","2,357.640"
"Feb 28, 2005","2,489.830"
"Mar 31, 2005","2,391.900"
"Apr 29, 2005","2,353.510"
"May 31, 2005","2,351.840"
"Jun 30, 2005","2,487.760"
"Jul 29, 2005","2,546.430"
"Aug 31, 2005","2,572.210"
"Sep 30, 2005","2,762.930"
"Oct 31, 2005","2,591.230"
"Nov 30, 2005","2,688.130"
"Dec 30, 2005","2,751.090"
"Jan 31, 2006","2,946.960"
"Feb 28, 2006","2,907.760"
"Mar 31, 2006","2,922.490"
"Apr 28, 2006","3,190.840"
"May 31, 2006","3,014.090"
"Jun 30, 2006","3,038.800"
"Jul 31, 2006","3,075.880"
"Aug 31, 2006","3,170.580"
"Sep 29, 2006","3,129.390"
"Oct 31, 2006","3,387.720"
"Nov 30, 2006","3,527.190"
"Dec 29, 2006","3,645.390"
"Jan 31, 2007","3,653.600"
"Feb 28, 2007","3,784.770"
"Mar 30, 2007","3,994.490"
"Apr 30, 2007","4,233.780"
"May 31, 2007","4,300.510"
"Jun 29, 2007","4,416.610"
"Jul 31, 2007","4,356.260"
"Aug 31, 2007","4,283.870"
"Sep 28, 2007","4,925.450"
"Oct 31, 2007","5,297.200"
"Nov 30, 2007","4,904.130"
"Dec 31, 2007","4,731.310"
"Jan 31, 2008","4,295.420"
"Feb 29, 2008","4,433.370"
"Mar 31, 2008","4,192.780"
"Apr 30, 2008","4,547.440"
"May 30, 2008","4,659.080"
"Jun 30, 2008","4,372.450"
"Jul 31, 2008","4,065.770"
"Aug 29, 2008","3,900.300"
"Sep 30, 2008","3,225.890"
"Oct 31, 2008","2,402.970"
"Nov 28, 2008","2,226.340"
"Dec 31, 2008","2,367.570"
"Jan 30, 2009","2,055.410"
"Feb 27, 2009","1,979.300"
"Mar 31, 2009","2,331.500"
"Apr 30, 2009","2,593.910"
"May 29, 2009","2,851.480"
"Jun 30, 2009","2,994.110"
"Jul 31, 2009","3,300.660"
"Aug 31, 2009","3,571.640"
"Sep 30, 2009","3,987.520"
"Oct 30, 2009","3,990.170"
"Nov 30, 2009","4,114.220"
"Dec 31, 2009","4,185.200"
"Jan 29, 2010","3,892.340"
"Feb 26, 2010","4,025.420"
"Mar 31, 2010","4,361.510"
"Apr 30, 2010","4,337.050"
"May 31, 2010","3,612.910"
"Jun 30, 2010","3,534.750"
"Jul 30, 2010","3,965.550"
"Aug 31, 2010","3,844.400"
"Sep 30, 2010","4,371.690"
"Oct 29, 2010","4,497.090"
"Nov 30, 2010","4,341.480"
"Dec 31, 2010","4,801.760"
"Jan 31, 2011","4,692.210"
"Feb 28, 2011","4,908.590"
"Mar 31, 2011","5,017.230"
"Apr 29, 2011","5,306.800"
"May 31, 2011","5,040.610"
"Jun 30, 2011","4,988.900"
"Jul 29, 2011","4,879.260"
"Aug 31, 2011","4,665.050"
"Sep 30, 2011","3,983.990"
"Oct 31, 2011","4,661.800"
"Nov 30, 2011","4,349.960"
"Dec 30, 2011","4,283.510"
"Jan 31, 2012","4,661.380"
"Feb 29, 2012","4,803.930"
"Mar 30, 2012","4,669.330"
"Apr 30, 2012","4,759.950"
"May 31, 2012","4,144.730"
"Jun 29, 2012","4,434.880"
"Jul 31, 2012","4,765.160"
"Aug 31, 2012","4,775.350"
"Sep 28, 2012","4,901.240"
"Oct 31, 2012","5,030.960"
"Nov 30, 2012","5,088.310"
"Dec 31, 2012","5,238.900"
"Jan 31, 2013","5,527.470"
"Feb 28, 2013","5,744.790"
"Mar 29, 2013","5,715.350"
"Apr 30, 2013","5,982.280"
"May 31, 2013","5,258.610"
"Jun 28, 2013","4,921.690"
"Jul 31, 2013","5,060.790"
"Aug 30, 2013","5,140.150"
"Sep 30, 2013","5,511.720"
"Oct 31, 2013","5,818.520"
"Nov 29, 2013","5,562.530"
"Dec 31, 2013","5,466.260"
"Jan 31, 2014","5,169.840"
"Feb 28, 2014","5,571.060"
"Mar 31, 2014","5,792.220"
"Apr 30, 2014","5,900.520"
"May 30, 2014","5,965.460"
"Jun 30, 2014","5,957.180"
"Jul 31, 2014","6,127.650"
"Aug 29, 2014","6,191.790"
"Sep 30, 2014","5,485.500"
"Oct 31, 2014","5,775.170"
"Nov 28, 2014","5,412.090"
"Dec 31, 2014","5,289.230"
"Jan 30, 2015","5,195.290"
"Feb 27, 2015","5,594.100"
"Mar 31, 2015","5,454.870"
"Apr 30, 2015","5,518.300"
"May 29, 2015","5,366.290"
"Jun 30, 2015","5,120.360"
"Jul 31, 2015","5,109.510"
"Aug 31, 2015","4,527.620"
"Sep 30, 2015","4,337.440"
"Oct 30, 2015","4,590.650"
"Nov 30, 2015","4,628.810"
"Dec 31, 2015","4,772.240"
"Jan 29, 2016","4,365.280"
"Feb 29, 2016","4,325.920"
"Mar 31, 2016","4,874.340"
"Apr 29, 2016","5,013.700"
"May 31, 2016","4,893.690"
"Jun 30, 2016","4,900.070"
"Jul 29, 2016","5,300.080"
"Aug 31, 2016","5,162.590"
"Sep 30, 2016","5,289.450"
"Oct 31, 2016","5,177.070"
"Nov 30, 2016","5,195.730"
"Dec 30, 2016","5,329.170"
"Jan 31, 2017","5,556.530"
"Feb 28, 2017","5,766.110"
"Mar 31, 2017","5,915.950"
"Apr 28, 2017","5,874.540"
"May 31, 2017","5,643.740"
"Jun 30, 2017","5,808.640"
"Jul 31, 2017","6,066.940"
"Aug 31, 2017","6,055.440"
"Sep 29, 2017","5,992.860"
"Oct 31, 2017","6,078.010"
"Nov 30, 2017","6,109.620"
"Dec 29, 2017","6,403.240"
"Jan 31, 2018","6,592.430"
"Feb 28, 2018","6,365.020"
"Mar 30, 2018","6,010.970"
"Apr 30, 2018","6,157.980"
"May 31, 2018","6,246.550"
"Jun 29, 2018","6,327.370"
"Jul 31, 2018","6,467.960"
"Aug 31, 2018","6,354.110"
"Sep 28, 2018","6,269.900"
"Oct 31, 2018","5,794.800"
"Nov 30, 2018","5,831.100"
"Dec 31, 2018","5,645.900"
"Jan 31, 2019","6,052.780"
"Feb 28, 2019","6,256.700"
"Mar 29, 2019","6,291.350"
