Date,France
"Dec 31, 1969",100.000
"Jan 30, 1970",103.940
"Feb 27, 1970",101.170
"Mar 31, 1970",100.130
"Apr 30, 1970",94.310
"May 29, 1970",91.880
"Jun 30, 1970",89.810
"Jul 31, 1970",95.090
"Aug 31, 1970",94.770
"Sep 30, 1970",92.180
"Oct 30, 1970",93.620
"Nov 30, 1970",92.920
"Dec 31, 1970",94.830
"Jan 29, 1971",99.710
"Feb 26, 1971",99.160
"Mar 31, 1971",97.340
"Apr 30, 1971",97.380
"May 31, 1971",102.740
"Jun 30, 1971",100.850
"Jul 30, 1971",103.790
"Aug 31, 1971",100.990
"Sep 30, 1971",92.520
"Oct 29, 1971",86.610
"Nov 30, 1971",92.600
"Dec 31, 1971",96.390
"Jan 31, 1972",102.750
"Feb 29, 1972",109.570
"Mar 31, 1972",123.220
"Apr 28, 1972",126.640
"May 31, 1972",134.170
"Jun 30, 1972",129.070
"Jul 31, 1972",137.930
"Aug 31, 1972",139.110
"Sep 29, 1972",137.280
"Oct 31, 1972",131.780
"Nov 30, 1972",123.150
"Dec 29, 1972",120.390
"Jan 31, 1973",128.960
"Feb 28, 1973",146.230
"Mar 30, 1973",154.640
"Apr 30, 1973",165.290
"May 31, 1973",170.300
"Jun 29, 1973",177.090
"Jul 31, 1973",166.550
"Aug 31, 1973",153.760
"Sep 28, 1973",157.480
"Oct 31, 1973",160.300
"Nov 30, 1973",131.590
"Dec 31, 1973",124.960
"Jan 31, 1974",125.180
"Feb 28, 1974",131.970
"Mar 29, 1974",123.560
"Apr 30, 1974",118.230
"May 31, 1974",113.150
"Jun 28, 1974",104.430
"Jul 31, 1974",108.370
"Aug 30, 1974",95.300
"Sep 30, 1974",80.720
"Oct 31, 1974",87.860
"Nov 29, 1974",90.900
"Dec 31, 1974",96.740
"Jan 31, 1975",122.700
"Feb 28, 1975",125.730
"Mar 31, 1975",135.400
"Apr 30, 1975",147.990
"May 30, 1975",144.590
"Jun 30, 1975",135.830
"Jul 31, 1975",136.900
"Aug 29, 1975",136.510
"Sep 30, 1975",126.190
"Oct 31, 1975",135.680
"Nov 28, 1975",141.820
"Dec 31, 1975",140.460
"Jan 30, 1976",143.000
"Feb 27, 1976",149.880
"Mar 31, 1976",139.420
"Apr 30, 1976",132.950
"May 31, 1976",131.490
"Jun 30, 1976",128.470
"Jul 30, 1976",118.120
"Aug 31, 1976",117.880
"Sep 30, 1976",110.570
"Oct 29, 1976",102.740
"Nov 30, 1976",99.370
"Dec 31, 1976",112.160
"Jan 31, 1977",110.170
"Feb 28, 1977",105.450
"Mar 31, 1977",94.950
"Apr 29, 1977",93.270
"May 31, 1977",98.370
"Jun 30, 1977",105.510
"Jul 29, 1977",103.220
"Aug 31, 1977",111.110
"Sep 30, 1977",118.130
"Oct 31, 1977",123.830
"Nov 30, 1977",118.530
"Dec 30, 1977",118.900
"Jan 31, 1978",111.940
"Feb 28, 1978",114.400
"Mar 31, 1978",144.730
"Apr 28, 1978",152.260
"May 31, 1978",161.030
"Jun 30, 1978",159.600
"Jul 31, 1978",183.510
"Aug 31, 1978",179.290
"Sep 29, 1978",206.700
"Oct 31, 1978",213.450
"Nov 30, 1978",189.810
"Dec 29, 1978",206.190
"Jan 31, 1979",200.610
"Feb 28, 1979",189.140
"Mar 30, 1979",198.510
"Apr 30, 1979",208.230
"May 31, 1979",195.070
"Jun 29, 1979",224.720
"Jul 31, 1979",225.140
"Aug 31, 1979",242.110
"Sep 28, 1979",280.590
"Oct 31, 1979",248.020
"Nov 30, 1979",266.630
"Dec 31, 1979",265.640
"Jan 31, 1980",284.460
"Feb 29, 1980",281.650
"Mar 31, 1980",236.680
"Apr 30, 1980",262.590
"May 30, 1980",280.000
"Jun 30, 1980",283.690
"Jul 31, 1980",271.960
"Aug 29, 1980",278.410
"Sep 30, 1980",277.900
"Oct 31, 1980",286.560
"Nov 28, 1980",281.020
"Dec 31, 1980",260.180
"Jan 30, 1981",231.180
"Feb 27, 1981",233.770
"Mar 31, 1981",244.170
"Apr 30, 1981",218.690
"May 29, 1981",167.990
"Jun 30, 1981",155.820
"Jul 31, 1981",167.720
"Aug 31, 1981",177.020
"Sep 30, 1981",183.320
"Oct 30, 1981",178.770
"Nov 30, 1981",191.600
"Dec 31, 1981",185.420
"Jan 29, 1982",195.030
"Feb 26, 1982",204.500
"Mar 31, 1982",190.430
"Apr 30, 1982",208.710
"May 31, 1982",206.940
"Jun 30, 1982",170.840
"Jul 30, 1982",166.670
"Aug 31, 1982",171.060
"Sep 30, 1982",165.070
"Oct 29, 1982",165.940
"Nov 30, 1982",173.060
"Dec 31, 1982",177.860
"Jan 31, 1983",184.250
"Feb 28, 1983",192.030
"Mar 31, 1983",198.740
"Apr 29, 1983",206.630
"May 31, 1983",209.840
"Jun 30, 1983",206.430
"Jul 29, 1983",204.810
"Aug 31, 1983",211.150
"Sep 30, 1983",222.030
"Oct 31, 1983",221.630
"Nov 30, 1983",230.900
"Dec 30, 1983",236.880
"Jan 31, 1984",250.030
"Feb 29, 1984",256.090
"Mar 30, 1984",260.420
"Apr 30, 1984",275.140
"May 31, 1984",265.350
"Jun 29, 1984",258.300
"Jul 31, 1984",230.940
"Aug 31, 1984",255.560
"Sep 28, 1984",253.240
"Oct 31, 1984",257.670
"Nov 30, 1984",252.240
"Dec 31, 1984",249.010
"Jan 31, 1985",263.430
"Feb 28, 1985",256.560
"Mar 29, 1985",288.580
"Apr 30, 1985",295.690
"May 31, 1985",320.790
"Jun 28, 1985",311.680
"Jul 31, 1985",318.760
"Aug 30, 1985",333.030
"Sep 30, 1985",327.860
"Oct 31, 1985",357.050
"Nov 29, 1985",415.390
"Dec 31, 1985",456.220
"Jan 31, 1986",496.600
"Feb 28, 1986",586.370
"Mar 31, 1986",644.150
"Apr 30, 1986",724.600
"May 30, 1986",627.370
"Jun 30, 1986",664.400
"Jul 31, 1986",738.910
"Aug 29, 1986",817.850
"Sep 30, 1986",755.550
"Oct 31, 1986",754.940
"Nov 28, 1986",811.880
"Dec 31, 1986",817.280
"Jan 30, 1987",906.370
"Feb 27, 1987",925.850
"Mar 31, 1987",982.030
"Apr 30, 1987",988.740
"May 29, 1987",933.860
"Jun 30, 1987",876.140
"Jul 31, 1987",896.140
"Aug 31, 1987",942.670
"Sep 30, 1987",883.630
"Oct 30, 1987",721.050
"Nov 30, 1987",710.500
"Dec 31, 1987",707.630
"Jan 29, 1988",600.120
"Feb 29, 1988",726.350
"Mar 31, 1988",683.160
"Apr 29, 1988",742.430
"May 31, 1988",791.850
"Jun 30, 1988",801.000
"Jul 29, 1988",779.230
"Aug 31, 1988",754.210
"Sep 30, 1988",827.850
"Oct 31, 1988",922.550
"Nov 30, 1988",941.070
"Dec 30, 1988",981.200
"Jan 31, 1989",990.660
"Feb 28, 1989",969.820
"Mar 31, 1989",980.710
"Apr 28, 1989","1,020.240"
"May 31, 1989",990.090
"Jun 30, 1989","1,011.490"
"Jul 31, 1989","1,124.360"
"Aug 31, 1989","1,116.960"
"Sep 29, 1989","1,181.960"
"Oct 31, 1989","1,128.150"
"Nov 30, 1989","1,199.260"
"Dec 29, 1989","1,342.290"
"Jan 31, 1990","1,274.450"
"Feb 28, 1990","1,242.390"
"Mar 30, 1990","1,323.660"
"Apr 30, 1990","1,402.350"
"May 31, 1990","1,430.910"
"Jun 29, 1990","1,409.940"
"Jul 31, 1990","1,423.090"
"Aug 31, 1990","1,242.010"
"Sep 28, 1990","1,111.370"
"Oct 31, 1990","1,234.190"
"Nov 30, 1990","1,221.780"
"Dec 31, 1990","1,163.040"
"Jan 31, 1991","1,208.670"
"Feb 28, 1991","1,324.370"
"Mar 29, 1991","1,228.050"
"Apr 30, 1991","1,194.990"
"May 31, 1991","1,241.010"
"Jun 28, 1991","1,122.750"
"Jul 31, 1991","1,171.560"
"Aug 30, 1991","1,244.440"
"Sep 30, 1991","1,319.000"
"Oct 31, 1991","1,298.810"
"Nov 29, 1991","1,266.290"
"Dec 31, 1991","1,378.440"
"Jan 31, 1992","1,383.290"
"Feb 28, 1992","1,439.640"
"Mar 31, 1992","1,423.370"
"Apr 30, 1992","1,497.690"
"May 29, 1992","1,561.780"
"Jun 30, 1992","1,540.280"
"Jul 31, 1992","1,476.590"
"Aug 31, 1992","1,491.030"
"Sep 30, 1992","1,538.950"
"Oct 30, 1992","1,412.080"
"Nov 30, 1992","1,389.020"
"Dec 31, 1992","1,425.410"
"Jan 29, 1993","1,389.430"
"Feb 26, 1993","1,510.770"
"Mar 31, 1993","1,580.790"
"Apr 30, 1993","1,558.850"
"May 31, 1993","1,519.240"
"Jun 30, 1993","1,497.310"
"Jul 30, 1993","1,516.400"
"Aug 31, 1993","1,648.930"
"Sep 30, 1993","1,634.980"
"Oct 29, 1993","1,649.870"
"Nov 30, 1993","1,599.120"
"Dec 31, 1993","1,732.750"
"Jan 31, 1994","1,801.010"
"Feb 28, 1994","1,767.550"
"Mar 31, 1994","1,687.740"
"Apr 29, 1994","1,763.130"
"May 31, 1994","1,680.890"
"Jun 30, 1994","1,616.640"
"Jul 29, 1994","1,777.040"
"Aug 31, 1994","1,787.040"
"Sep 30, 1994","1,666.810"
"Oct 31, 1994","1,726.970"
"Nov 30, 1994","1,709.190"
"Dec 30, 1994","1,651.300"
"Jan 31, 1995","1,613.390"
"Feb 28, 1995","1,641.120"
"Mar 31, 1995","1,858.130"
"Apr 28, 1995","1,877.720"
"May 31, 1995","1,899.520"
"Jun 30, 1995","1,868.450"
"Jul 31, 1995","1,954.580"
"Aug 31, 1995","1,830.980"
"Sep 29, 1995","1,797.280"
"Oct 31, 1995","1,825.710"
"Nov 30, 1995","1,817.560"
"Dec 29, 1995","1,895.180"
"Jan 31, 1996","1,973.010"
"Feb 29, 1996","1,996.970"
"Mar 29, 1996","2,057.380"
"Apr 30, 1996","2,095.440"
"May 31, 1996","2,073.040"
"Jun 28, 1996","2,111.170"
"Jul 31, 1996","2,053.230"
"Aug 30, 1996","2,011.730"
"Sep 30, 1996","2,123.510"
"Oct 31, 1996","2,169.340"
"Nov 29, 1996","2,285.230"
"Dec 31, 1996","2,308.590"
"Jan 31, 1997","2,361.310"
"Feb 28, 1997","2,374.110"
"Mar 31, 1997","2,448.300"
"Apr 30, 1997","2,349.480"
"May 30, 1997","2,330.930"
"Jun 30, 1997","2,525.580"
"Jul 31, 1997","2,570.020"
"Aug 29, 1997","2,375.880"
"Sep 30, 1997","2,628.190"
"Oct 31, 1997","2,453.220"
"Nov 28, 1997","2,505.810"
"Dec 31, 1997","2,595.000"
"Jan 30, 1998","2,688.380"
"Feb 27, 1998","2,915.180"
"Mar 31, 1998","3,240.970"
"Apr 30, 1998","3,347.430"
"May 29, 1998","3,522.300"
"Jun 30, 1998","3,605.620"
"Jul 31, 1998","3,643.220"
"Aug 31, 1998","3,226.730"
"Sep 30, 1998","3,016.320"
"Oct 30, 1998","3,328.900"
"Nov 30, 1998","3,539.050"
"Dec 31, 1998","3,686.390"
"Jan 29, 1999","3,794.450"
"Feb 26, 1999","3,546.850"
"Mar 31, 1999","3,613.630"
"Apr 30, 1999","3,709.410"
"May 31, 1999","3,624.220"
"Jun 30, 1999","3,734.380"
"Jul 30, 1999","3,755.490"
"Aug 31, 1999","3,893.110"
"Sep 30, 1999","3,934.240"
"Oct 29, 1999","4,152.220"
"Nov 30, 1999","4,290.380"
"Dec 31, 1999","4,780.990"
"Jan 31, 2000","4,465.640"
"Feb 29, 2000","4,866.930"
"Mar 31, 2000","4,921.150"
"Apr 28, 2000","4,760.120"
"May 31, 2000","4,889.260"
"Jun 30, 2000","5,075.430"
"Jul 31, 2000","4,994.130"
"Aug 31, 2000","4,874.020"
"Sep 29, 2000","4,564.720"
"Oct 31, 2000","4,456.760"
"Nov 30, 2000","4,250.870"
"Dec 29, 2000","4,586.860"
"Jan 31, 2001","4,595.980"
"Feb 28, 2001","4,081.090"
"Mar 30, 2001","3,797.310"
"Apr 30, 2001","4,138.730"
"May 31, 2001","3,878.720"
"Jun 29, 2001","3,737.320"
"Jul 31, 2001","3,755.900"
"Aug 31, 2001","3,627.480"
"Sep 28, 2001","3,203.480"
"Oct 31, 2001","3,364.090"
"Nov 30, 2001","3,463.250"
"Dec 31, 2001","3,573.620"
"Jan 31, 2002","3,346.800"
"Feb 28, 2002","3,375.390"
"Mar 29, 2002","3,554.380"
"Apr 30, 2002","3,501.530"
"May 31, 2002","3,520.250"
"Jun 28, 2002","3,422.830"
"Jul 31, 2002","2,964.670"
"Aug 30, 2002","2,917.620"
"Sep 30, 2002","2,470.170"
"Oct 31, 2002","2,791.180"
"Nov 29, 2002","2,909.120"
"Dec 31, 2002","2,829.060"
"Jan 31, 2003","2,734.660"
"Feb 28, 2003","2,600.650"
"Mar 31, 2003","2,504.300"
"Apr 30, 2003","2,898.570"
"May 30, 2003","3,112.070"
"Jun 30, 2003","3,163.250"
"Jul 31, 2003","3,219.280"
"Aug 29, 2003","3,242.850"
"Sep 30, 2003","3,256.710"
"Oct 31, 2003","3,479.340"
"Nov 28, 2003","3,658.980"
"Dec 31, 2003","3,989.920"
"Jan 30, 2004","4,020.030"
"Feb 27, 2004","4,122.310"
"Mar 31, 2004","3,975.910"
"Apr 30, 2004","3,930.490"
"May 31, 2004","4,057.190"
"Jun 30, 2004","4,136.510"
"Jul 30, 2004","4,008.300"
"Aug 31, 2004","4,001.520"
"Sep 30, 2004","4,137.530"
"Oct 29, 2004","4,309.950"
"Nov 30, 2004","4,568.340"
"Dec 31, 2004","4,756.830"
"Jan 31, 2005","4,678.030"
"Feb 28, 2005","4,909.380"
"Mar 31, 2005","4,844.710"
"Apr 29, 2005","4,635.240"
"May 31, 2005","4,748.070"
"Jun 30, 2005","4,804.510"
"Jul 29, 2005","5,081.070"
"Aug 31, 2005","5,095.120"
"Sep 30, 2005","5,223.610"
"Oct 31, 2005","4,999.400"
"Nov 30, 2005","5,085.360"
"Dec 30, 2005","5,260.690"
"Jan 31, 2006","5,687.400"
"Feb 28, 2006","5,624.980"
"Mar 31, 2006","5,956.970"
"Apr 28, 2006","6,160.040"
"May 31, 2006","6,072.700"
"Jun 30, 2006","6,142.760"
"Jul 31, 2006","6,182.910"
"Aug 31, 2006","6,386.520"
"Sep 29, 2006","6,443.650"
"Oct 31, 2006","6,617.660"
"Nov 30, 2006","6,880.470"
"Dec 29, 2006","7,124.210"
"Jan 31, 2007","7,102.600"
"Feb 28, 2007","7,106.510"
"Mar 30, 2007","7,325.660"
"Apr 30, 2007","7,925.370"
"May 31, 2007","8,128.110"
"Jun 29, 2007","8,095.060"
"Jul 31, 2007","7,810.860"
"Aug 31, 2007","7,666.660"
"Sep 28, 2007","8,061.730"
"Oct 31, 2007","8,370.520"
"Nov 30, 2007","8,238.970"
"Dec 31, 2007","8,123.610"
"Jan 31, 2008","7,144.080"
"Feb 29, 2008","7,262.350"
"Mar 31, 2008","7,446.220"
"Apr 30, 2008","7,786.490"
"May 30, 2008","7,992.590"
"Jun 30, 2008","7,205.550"
"Jul 31, 2008","7,063.910"
"Aug 29, 2008","6,817.540"
"Sep 30, 2008","5,844.850"
"Oct 31, 2008","4,534.770"
"Nov 28, 2008","4,286.690"
"Dec 31, 2008","4,653.670"
"Jan 30, 2009","3,990.050"
"Feb 27, 2009","3,611.340"
"Mar 31, 2009","3,910.930"
"Apr 30, 2009","4,432.080"
"May 29, 2009","4,996.180"
"Jun 30, 2009","4,790.140"
"Jul 31, 2009","5,295.990"
"Aug 31, 2009","5,716.940"
"Sep 30, 2009","6,066.770"
"Oct 30, 2009","5,824.320"
"Nov 30, 2009","6,055.770"
"Dec 31, 2009","6,201.520"
"Jan 29, 2010","5,743.160"
"Feb 26, 2010","5,611.610"
"Mar 31, 2010","5,960.420"
"Apr 30, 2010","5,659.040"
"May 31, 2010","4,942.520"
"Jun 30, 2010","4,870.800"
"Jul 30, 2010","5,476.070"
"Aug 31, 2010","5,144.940"
"Sep 30, 2010","5,890.150"
"Oct 29, 2010","6,189.740"
"Nov 30, 2010","5,518.630"
"Dec 31, 2010","6,001.030"
"Jan 31, 2011","6,417.680"
"Feb 28, 2011","6,641.870"
"Mar 31, 2011","6,635.670"
"Apr 29, 2011","7,165.840"
"May 31, 2011","6,936.630"
"Jun 30, 2011","6,983.980"
"Jul 29, 2011","6,422.740"
"Aug 31, 2011","5,733.090"
"Sep 30, 2011","4,903.610"
"Oct 31, 2011","5,534.420"
"Nov 30, 2011","5,205.890"
"Dec 30, 2011","5,041.050"
"Jan 31, 2012","5,318.660"
"Feb 29, 2012","5,697.300"
"Mar 30, 2012","5,660.480"
"Apr 30, 2012","5,326.620"
"May 31, 2012","4,754.340"
"Jun 29, 2012","5,197.930"
"Jul 31, 2012","5,200.670"
"Aug 31, 2012","5,505.530"
"Sep 28, 2012","5,580.800"
"Oct 31, 2012","5,731.090"
"Nov 30, 2012","5,973.930"
"Dec 31, 2012","6,191.260"
"Jan 31, 2013","6,537.400"
"Feb 28, 2013","6,316.560"
"Mar 29, 2013","6,229.140"
"Apr 30, 2013","6,606.380"
"May 31, 2013","6,763.660"
"Jun 28, 2013","6,444.530"
"Jul 31, 2013","7,032.070"
"Aug 30, 2013","6,875.040"
"Sep 30, 2013","7,445.050"
"Oct 31, 2013","7,746.740"
"Nov 29, 2013","7,770.440"
"Dec 31, 2013","7,903.560"
"Jan 31, 2014","7,513.380"
"Feb 28, 2014","8,149.170"
"Mar 31, 2014","8,137.360"
"Apr 30, 2014","8,377.330"
"May 30, 2014","8,446.960"
"Jun 30, 2014","8,332.280"
"Jul 31, 2014","7,830.960"
"Aug 29, 2014","7,918.140"
"Sep 30, 2014","7,638.320"
"Oct 31, 2014","7,303.550"
"Nov 28, 2014","7,559.430"
"Dec 31, 2014","7,192.930"
"Jan 30, 2015","7,245.610"
"Feb 27, 2015","7,719.170"
"Mar 31, 2015","7,535.380"
"Apr 30, 2015","7,927.570"
"May 29, 2015","7,803.160"
"Jun 30, 2015","7,608.710"
"Jul 31, 2015","7,986.070"
"Aug 31, 2015","7,424.910"
"Sep 30, 2015","7,121.200"
"Oct 30, 2015","7,719.770"
"Nov 30, 2015","7,493.110"
"Dec 31, 2015","7,249.270"
"Jan 29, 2016","6,919.710"
"Feb 29, 2016","6,847.820"
"Mar 31, 2016","7,264.570"
"Apr 29, 2016","7,407.090"
"May 31, 2016","7,430.930"
"Jun 30, 2016","7,007.910"
"Jul 29, 2016","7,398.810"
"Aug 31, 2016","7,361.270"
"Sep 30, 2016","7,458.300"
"Oct 31, 2016","7,411.210"
"Nov 30, 2016","7,280.230"
"Dec 30, 2016","7,685.510"
"Jan 31, 2017","7,731.940"
"Feb 28, 2017","7,760.250"
"Mar 31, 2017","8,250.150"
"Apr 28, 2017","8,699.630"
"May 31, 2017","9,171.890"
"Jun 30, 2017","9,063.590"
"Jul 31, 2017","9,320.290"
"Aug 31, 2017","9,418.750"
"Sep 29, 2017","9,826.550"
"Oct 31, 2017","9,973.920"
"Nov 30, 2017","9,999.980"
"Dec 29, 2017","9,983.410"
"Jan 31, 2018","10,684.300"
"Feb 28, 2018","10,166.320"
"Mar 30, 2018","10,022.230"
"Apr 30, 2018","10,507.820"
"May 31, 2018","10,142.220"
"Jun 29, 2018","10,054.400"
"Jul 31, 2018","10,420.450"
"Aug 31, 2018","10,214.290"
"Sep 28, 2018","10,342.890"
"Oct 31, 2018","9,374.160"
"Nov 30, 2018","9,210.100"
"Dec 31, 2018","8,795.750"
"Jan 31, 2019","9,311.230"
"Feb 28, 2019","9,696.960"
"Mar 29, 2019","9,744.600"
