Date,Spain
"Dec 31, 1969",100.000
"Jan 30, 1970",103.940
"Feb 27, 1970",109.050
"Mar 31, 1970",105.740
"Apr 30, 1970",97.250
"May 29, 1970",92.800
"Jun 30, 1970",96.400
"Jul 31, 1970",98.690
"Aug 31, 1970",99.070
"Sep 30, 1970",95.810
"Oct 30, 1970",99.000
"Nov 30, 1970",99.060
"Dec 31, 1970",96.300
"Jan 29, 1971",102.810
"Feb 26, 1971",104.010
"Mar 31, 1971",100.950
"Apr 30, 1971",101.900
"May 31, 1971",104.640
"Jun 30, 1971",104.410
"Jul 30, 1971",108.530
"Aug 31, 1971",112.230
"Sep 30, 1971",110.930
"Oct 29, 1971",114.220
"Nov 30, 1971",114.120
"Dec 31, 1971",121.660
"Jan 31, 1972",127.390
"Feb 29, 1972",132.040
"Mar 31, 1972",138.220
"Apr 28, 1972",144.960
"May 31, 1972",151.310
"Jun 30, 1972",154.750
"Jul 31, 1972",159.190
"Aug 31, 1972",165.500
"Sep 29, 1972",163.390
"Oct 31, 1972",174.880
"Nov 30, 1972",172.450
"Dec 29, 1972",171.730
"Jan 31, 1973",184.060
"Feb 28, 1973",206.110
"Mar 30, 1973",219.600
"Apr 30, 1973",226.440
"May 31, 1973",212.340
"Jun 29, 1973",217.180
"Jul 31, 1973",222.370
"Aug 31, 1973",226.610
"Sep 28, 1973",241.790
"Oct 31, 1973",239.830
"Nov 30, 1973",212.660
"Dec 31, 1973",215.120
"Jan 31, 1974",226.300
"Feb 28, 1974",233.380
"Mar 29, 1974",230.080
"Apr 30, 1974",246.550
"May 31, 1974",239.360
"Jun 28, 1974",243.710
"Jul 31, 1974",245.040
"Aug 30, 1974",227.030
"Sep 30, 1974",197.990
"Oct 31, 1974",195.790
"Nov 29, 1974",211.410
"Dec 31, 1974",196.790
"Jan 31, 1975",199.940
"Feb 28, 1975",209.960
"Mar 31, 1975",199.730
"Apr 30, 1975",208.930
"May 30, 1975",198.930
"Jun 30, 1975",190.670
"Jul 31, 1975",180.880
"Aug 29, 1975",184.210
"Sep 30, 1975",171.980
"Oct 31, 1975",180.300
"Nov 28, 1975",201.740
"Dec 31, 1975",197.090
"Jan 30, 1976",184.170
"Feb 27, 1976",157.160
"Mar 31, 1976",149.680
"Apr 30, 1976",161.040
"May 31, 1976",156.090
"Jun 30, 1976",144.620
"Jul 30, 1976",144.460
"Aug 31, 1976",141.520
"Sep 30, 1976",143.640
"Oct 29, 1976",135.010
"Nov 30, 1976",134.630
"Dec 31, 1976",125.720
"Jan 31, 1977",116.050
"Feb 28, 1977",124.240
"Mar 31, 1977",117.840
"Apr 29, 1977",119.770
"May 31, 1977",115.030
"Jun 30, 1977",114.010
"Jul 29, 1977",82.880
"Aug 31, 1977",83.080
"Sep 30, 1977",73.940
"Oct 31, 1977",74.940
"Nov 30, 1977",75.600
"Dec 30, 1977",82.640
"Jan 31, 1978",79.070
"Feb 28, 1978",76.620
"Mar 31, 1978",78.150
"Apr 28, 1978",82.970
"May 31, 1978",85.060
"Jun 30, 1978",87.430
"Jul 31, 1978",93.240
"Aug 31, 1978",95.280
"Sep 29, 1978",93.840
"Oct 31, 1978",99.140
"Nov 30, 1978",88.710
"Dec 29, 1978",89.010
"Jan 31, 1979",86.440
"Feb 28, 1979",92.350
"Mar 30, 1979",106.210
"Apr 30, 1979",102.410
"May 31, 1979",103.280
"Jun 29, 1979",103.960
"Jul 31, 1979",98.280
"Aug 31, 1979",99.520
"Sep 28, 1979",95.730
"Oct 31, 1979",92.170
"Nov 30, 1979",88.530
"Dec 31, 1979",93.790
"Jan 31, 1980",91.510
"Feb 29, 1980",95.010
"Mar 31, 1980",87.190
"Apr 30, 1980",86.910
"May 30, 1980",91.310
"Jun 30, 1980",99.000
"Jul 31, 1980",97.380
"Aug 29, 1980",98.530
"Sep 30, 1980",102.210
"Oct 31, 1980",101.320
"Nov 28, 1980",96.170
"Dec 31, 1980",97.860
"Jan 30, 1981",97.360
"Feb 27, 1981",96.900
"Mar 31, 1981",101.090
"Apr 30, 1981",101.220
"May 29, 1981",103.460
"Jun 30, 1981",116.600
"Jul 31, 1981",108.500
"Aug 31, 1981",117.920
"Sep 30, 1981",115.230
"Oct 30, 1981",109.730
"Nov 30, 1981",116.490
"Dec 31, 1981",110.360
"Jan 29, 1982",108.840
"Feb 26, 1982",105.740
"Mar 31, 1982",100.330
"Apr 30, 1982",106.440
"May 31, 1982",103.760
"Jun 30, 1982",95.350
"Jul 30, 1982",93.320
"Aug 31, 1982",88.080
"Sep 30, 1982",79.440
"Oct 29, 1982",81.540
"Nov 30, 1982",85.040
"Dec 31, 1982",78.420
"Jan 31, 1983",75.230
"Feb 28, 1983",75.260
"Mar 31, 1983",80.840
"Apr 29, 1983",80.740
"May 31, 1983",86.090
"Jun 30, 1983",81.990
"Jul 29, 1983",79.990
"Aug 31, 1983",74.670
"Sep 30, 1983",77.840
"Oct 31, 1983",82.750
"Nov 30, 1983",82.650
"Dec 30, 1983",74.740
"Jan 31, 1984",82.030
"Feb 29, 1984",95.280
"Mar 30, 1984",98.750
"Apr 30, 1984",95.400
"May 31, 1984",97.740
"Jun 29, 1984",99.860
"Jul 31, 1984",105.000
"Aug 31, 1984",107.210
"Sep 28, 1984",111.460
"Oct 31, 1984",107.400
"Nov 30, 1984",107.990
"Dec 31, 1984",105.890
"Jan 31, 1985",125.430
"Feb 28, 1985",116.500
"Mar 29, 1985",126.030
"Apr 30, 1985",123.030
"May 31, 1985",124.010
"Jun 28, 1985",121.720
"Jul 31, 1985",132.910
"Aug 30, 1985",132.130
"Sep 30, 1985",134.870
"Oct 31, 1985",148.260
"Nov 29, 1985",160.800
"Dec 31, 1985",166.290
"Jan 31, 1986",184.220
"Feb 28, 1986",233.440
"Mar 31, 1986",281.550
"Apr 30, 1986",321.650
"May 30, 1986",305.940
"Jun 30, 1986",302.520
"Jul 31, 1986",313.450
"Aug 29, 1986",355.410
"Sep 30, 1986",359.740
"Oct 31, 1986",321.470
"Nov 28, 1986",345.940
"Dec 31, 1986",371.070
"Jan 30, 1987",419.640
"Feb 27, 1987",428.360
"Mar 31, 1987",396.330
"Apr 30, 1987",393.690
"May 29, 1987",403.160
"Jun 30, 1987",434.880
"Jul 31, 1987",506.130
"Aug 31, 1987",565.880
"Sep 30, 1987",568.000
"Oct 30, 1987",451.150
"Nov 30, 1987",481.830
"Dec 31, 1987",511.550
"Jan 29, 1988",529.970
"Feb 29, 1988",536.620
"Mar 31, 1988",586.630
"Apr 29, 1988",586.130
"May 31, 1988",594.400
"Jun 30, 1988",593.470
"Jul 29, 1988",574.690
"Aug 31, 1988",547.320
"Sep 30, 1988",546.610
"Oct 31, 1988",591.450
"Nov 30, 1988",596.090
"Dec 30, 1988",584.550
"Jan 31, 1989",582.450
"Feb 28, 1989",566.290
"Mar 31, 1989",574.670
"Apr 28, 1989",601.820
"May 31, 1989",577.510
"Jun 30, 1989",583.860
"Jul 31, 1989",612.970
"Aug 31, 1989",626.320
"Sep 29, 1989",654.930
"Oct 31, 1989",625.020
"Nov 30, 1989",622.980
"Dec 29, 1989",646.660
"Jan 31, 1990",609.300
"Feb 28, 1990",593.050
"Mar 30, 1990",543.440
"Apr 30, 1990",602.680
"May 31, 1990",633.870
"Jun 29, 1990",683.170
"Jul 31, 1990",713.290
"Aug 31, 1990",627.440
"Sep 28, 1990",511.720
"Oct 31, 1990",585.890
"Nov 30, 1990",575.350
"Dec 31, 1990",564.230
"Jan 31, 1991",604.000
"Feb 28, 1991",680.530
"Mar 29, 1991",667.050
"Apr 30, 1991",635.580
"May 31, 1991",668.490
"Jun 28, 1991",605.230
"Jul 31, 1991",612.860
"Aug 30, 1991",633.290
"Sep 30, 1991",672.630
"Oct 31, 1991",654.390
"Nov 29, 1991",617.910
"Dec 31, 1991",660.210
"Jan 31, 1992",657.660
"Feb 28, 1992",682.800
"Mar 31, 1992",651.900
"Apr 30, 1992",638.490
"May 29, 1992",702.530
"Jun 30, 1992",658.980
"Jul 31, 1992",609.670
"Aug 31, 1992",590.410
"Sep 30, 1992",517.840
"Oct 30, 1992",487.860
"Nov 30, 1992",518.640
"Dec 31, 1992",522.590
"Jan 29, 1993",568.320
"Feb 26, 1993",564.160
"Mar 31, 1993",600.100
"Apr 30, 1993",604.320
"May 31, 1993",592.610
"Jun 30, 1993",590.730
"Jul 30, 1993",554.600
"Aug 31, 1993",675.280
"Sep 30, 1993",657.110
"Oct 29, 1993",698.200
"Nov 30, 1993",633.700
"Dec 31, 1993",685.500
"Jan 31, 1994",770.330
"Feb 28, 1994",734.120
"Mar 31, 1994",701.260
"Apr 29, 1994",718.570
"May 31, 1994",718.230
"Jun 30, 1994",679.080
"Jul 29, 1994",720.360
"Aug 31, 1994",712.860
"Sep 30, 1994",692.790
"Oct 31, 1994",713.700
"Nov 30, 1994",701.940
"Dec 30, 1994",658.590
"Jan 31, 1995",653.310
"Feb 28, 1995",670.110
"Mar 31, 1995",656.970
"Apr 28, 1995",712.030
"May 31, 1995",746.260
"Jun 30, 1995",757.970
"Jul 31, 1995",814.190
"Aug 31, 1995",787.590
"Sep 29, 1995",789.590
"Oct 31, 1995",765.550
"Nov 30, 1995",824.620
"Dec 29, 1995",863.740
"Jan 31, 1996",871.660
"Feb 29, 1996",930.490
"Mar 29, 1996",917.820
"Apr 30, 1996",953.970
"May 31, 1996",947.290
"Jun 28, 1996",987.830
"Jul 31, 1996",943.420
"Aug 30, 1996",964.370
"Sep 30, 1996",988.830
"Oct 31, 1996","1,020.500"
"Nov 29, 1996","1,107.240"
"Dec 31, 1996","1,220.220"
"Jan 31, 1997","1,200.440"
"Feb 28, 1997","1,158.650"
"Mar 31, 1997","1,206.300"
"Apr 30, 1997","1,277.310"
"May 30, 1997","1,376.600"
"Jun 30, 1997","1,477.930"
"Jul 31, 1997","1,396.090"
"Aug 29, 1997","1,368.130"
"Sep 30, 1997","1,565.130"
"Oct 31, 1997","1,415.530"
"Nov 28, 1997","1,500.710"
"Dec 31, 1997","1,539.800"
"Jan 30, 1998","1,663.920"
"Feb 27, 1998","1,878.030"
"Mar 31, 1998","2,128.760"
"Apr 30, 1998","2,193.450"
"May 29, 1998","2,211.260"
"Jun 30, 1998","2,220.700"
"Jul 31, 1998","2,347.970"
"Aug 31, 1998","1,840.620"
"Sep 30, 1998","1,804.880"
"Oct 30, 1998","2,097.400"
"Nov 30, 1998","2,245.220"
"Dec 31, 1998","2,318.640"
"Jan 29, 1999","2,279.980"
"Feb 26, 1999","2,237.090"
"Mar 31, 1999","2,154.960"
"Apr 30, 1999","2,165.880"
"May 31, 1999","2,158.910"
"Jun 30, 1999","2,170.290"
"Jul 30, 1999","2,076.070"
"Aug 31, 1999","2,128.490"
"Sep 30, 1999","2,098.860"
"Oct 29, 1999","2,124.000"
"Nov 30, 1999","2,307.690"
"Dec 31, 1999","2,440.930"
"Jan 31, 2000","2,251.990"
"Feb 29, 2000","2,477.690"
"Mar 31, 2000","2,473.980"
"Apr 28, 2000","2,296.050"
"May 31, 2000","2,228.300"
"Jun 30, 2000","2,290.770"
"Jul 31, 2000","2,231.300"
"Aug 31, 2000","2,188.080"
"Sep 29, 2000","2,210.630"
"Oct 31, 2000","2,048.840"
"Nov 30, 2000","1,900.810"
"Dec 29, 2000","2,061.680"
"Jan 31, 2001","2,259.840"
"Feb 28, 2001","2,131.850"
"Mar 30, 2001","2,013.160"
"Apr 30, 2001","2,112.750"
"May 31, 2001","1,970.440"
"Jun 29, 2001","1,831.190"
"Jul 31, 2001","1,826.660"
"Aug 31, 2001","1,858.230"
"Sep 28, 2001","1,646.730"
"Oct 31, 2001","1,722.360"
"Nov 30, 2001","1,837.370"
"Dec 31, 2001","1,834.740"
"Jan 31, 2002","1,697.940"
"Feb 28, 2002","1,722.050"
"Mar 29, 2002","1,758.150"
"Apr 30, 2002","1,807.510"
"May 31, 2002","1,815.730"
"Jun 28, 2002","1,649.610"
"Jul 31, 2002","1,476.910"
"Aug 30, 2002","1,543.220"
"Sep 30, 2002","1,293.430"
"Oct 31, 2002","1,485.340"
"Nov 29, 2002","1,636.200"
"Dec 31, 2002","1,560.780"
"Jan 31, 2003","1,579.740"
"Feb 28, 2003","1,601.890"
"Mar 31, 2003","1,589.650"
"Apr 30, 2003","1,814.160"
"May 30, 2003","1,901.160"
"Jun 30, 2003","1,962.390"
"Jul 31, 2003","2,000.620"
"Aug 29, 2003","1,970.770"
"Sep 30, 2003","1,963.180"
"Oct 31, 2003","2,098.860"
"Nov 28, 2003","2,204.350"
"Dec 31, 2003","2,484.890"
"Jan 30, 2004","2,512.610"
"Feb 27, 2004","2,612.580"
"Mar 31, 2004","2,503.210"
"Apr 30, 2004","2,476.440"
"May 31, 2004","2,489.680"
"Jun 30, 2004","2,521.710"
"Jul 30, 2004","2,465.300"
"Aug 31, 2004","2,469.380"
"Sep 30, 2004","2,566.790"
"Oct 29, 2004","2,787.070"
"Nov 30, 2004","3,017.230"
"Dec 31, 2004","3,219.400"
"Jan 31, 2005","3,141.210"
"Feb 28, 2005","3,255.040"
"Mar 31, 2005","3,145.290"
"Apr 29, 2005","3,046.350"
"May 31, 2005","3,061.550"
"Jun 30, 2005","3,115.590"
"Jul 29, 2005","3,261.540"
"Aug 31, 2005","3,262.180"
"Sep 30, 2005","3,463.030"
"Oct 31, 2005","3,339.130"
"Nov 30, 2005","3,322.780"
"Dec 30, 2005","3,377.750"
"Jan 31, 2006","3,601.790"
"Feb 28, 2006","3,738.090"
"Mar 31, 2006","3,812.820"
"Apr 28, 2006","3,987.380"
"May 31, 2006","3,891.770"
"Jun 30, 2006","3,944.200"
"Jul 31, 2006","4,072.660"
"Aug 31, 2006","4,209.470"
"Sep 29, 2006","4,434.180"
"Oct 31, 2006","4,763.050"
"Nov 30, 2006","4,990.030"
"Dec 29, 2006","5,072.240"
"Jan 31, 2007","5,175.450"
"Feb 28, 2007","5,148.190"
"Mar 30, 2007","5,303.800"
"Apr 30, 2007","5,372.900"
"May 31, 2007","5,683.480"
"Jun 29, 2007","5,544.720"
"Jul 31, 2007","5,653.780"
"Aug 31, 2007","5,541.830"
"Sep 28, 2007","5,834.300"
"Oct 31, 2007","6,512.290"
"Nov 30, 2007","6,539.070"
"Dec 31, 2007","6,324.480"
"Jan 31, 2008","5,570.650"
"Feb 29, 2008","5,679.350"
"Mar 31, 2008","5,975.680"
"Apr 30, 2008","6,166.120"
"May 30, 2008","6,119.840"
"Jun 30, 2008","5,480.950"
"Jul 31, 2008","5,434.020"
"Aug 29, 2008","5,055.810"
"Sep 30, 2008","4,550.160"
"Oct 31, 2008","3,400.400"
"Nov 28, 2008","3,350.970"
"Dec 31, 2008","3,790.650"
"Jan 30, 2009","3,223.120"
"Feb 27, 2009","2,882.030"
"Mar 31, 2009","3,096.210"
"Apr 30, 2009","3,605.610"
"May 29, 2009","4,079.670"
"Jun 30, 2009","4,244.670"
"Jul 31, 2009","4,847.520"
"Aug 31, 2009","5,148.840"
"Sep 30, 2009","5,413.210"
"Oct 30, 2009","5,373.300"
"Nov 30, 2009","5,614.220"
"Dec 31, 2009","5,499.090"
"Jan 29, 2010","4,854.570"
"Feb 26, 2010","4,503.940"
"Mar 31, 2010","4,662.120"
"Apr 30, 2010","4,439.300"
"May 31, 2010","3,713.560"
"Jun 30, 2010","3,709.300"
"Jul 30, 2010","4,528.800"
"Aug 31, 2010","4,282.400"
"Sep 30, 2010","4,735.940"
"Oct 29, 2010","4,961.460"
"Nov 30, 2010","3,955.090"
"Dec 31, 2010","4,337.340"
"Jan 31, 2011","4,933.830"
"Feb 28, 2011","4,976.230"
"Mar 31, 2011","4,935.850"
"Apr 29, 2011","5,331.550"
"May 31, 2011","5,052.300"
"Jun 30, 2011","5,038.760"
"Jul 29, 2011","4,675.280"
"Aug 31, 2011","4,274.400"
"Sep 30, 2011","3,926.250"
"Oct 31, 2011","4,273.990"
"Nov 30, 2011","3,929.450"
"Dec 30, 2011","3,853.260"
"Jan 31, 2012","3,905.070"
"Feb 29, 2012","3,975.020"
"Mar 30, 2012","3,735.660"
"Apr 30, 2012","3,278.390"
"May 31, 2012","2,720.730"
"Jun 29, 2012","3,292.970"
"Jul 31, 2012","3,068.930"
"Aug 31, 2012","3,473.650"
"Sep 28, 2012","3,672.060"
"Oct 31, 2012","3,785.740"
"Nov 30, 2012","3,856.320"
"Dec 31, 2012","4,035.580"
"Jan 31, 2013","4,314.120"
"Feb 28, 2013","4,061.060"
"Mar 29, 2013","3,819.810"
"Apr 30, 2013","4,222.310"
"May 31, 2013","4,101.750"
"Jun 28, 2013","3,804.700"
"Jul 31, 2013","4,294.400"
"Aug 30, 2013","4,186.810"
"Sep 30, 2013","4,786.350"
"Oct 31, 2013","5,227.970"
"Nov 29, 2013","5,218.250"
"Dec 31, 2013","5,338.950"
"Jan 31, 2014","5,233.540"
"Feb 28, 2014","5,466.670"
"Mar 31, 2014","5,595.270"
"Apr 30, 2014","5,761.620"
"May 30, 2014","5,906.140"
"Jun 30, 2014","6,007.290"
"Jul 31, 2014","5,819.240"
"Aug 29, 2014","5,741.210"
"Sep 30, 2014","5,562.160"
"Oct 31, 2014","5,343.640"
"Nov 28, 2014","5,504.070"
"Dec 31, 2014","5,106.830"
"Jan 30, 2015","4,779.410"
"Feb 27, 2015","5,121.080"
"Mar 31, 2015","5,078.790"
"Apr 30, 2015","5,256.600"
"May 29, 2015","5,088.710"
"Jun 30, 2015","4,980.650"
"Jul 31, 2015","5,167.660"
"Aug 31, 2015","4,795.660"
"Sep 30, 2015","4,431.730"
"Oct 30, 2015","4,748.330"
"Nov 30, 2015","4,579.030"
"Dec 31, 2015","4,320.720"
"Jan 29, 2016","3,984.890"
"Feb 29, 2016","3,841.610"
"Mar 31, 2016","4,148.450"
"Apr 29, 2016","4,365.970"
"May 31, 2016","4,259.370"
"Jun 30, 2016","3,839.980"
"Jul 29, 2016","4,090.250"
"Aug 31, 2016","4,143.940"
"Sep 30, 2016","4,202.940"
"Oct 31, 2016","4,340.550"
"Nov 30, 2016","3,972.380"
"Dec 30, 2016","4,300.160"
"Jan 31, 2017","4,420.030"
"Feb 28, 2017","4,442.940"
"Mar 31, 2017","4,939.570"
"Apr 28, 2017","5,168.380"
"May 31, 2017","5,409.890"
"Jun 30, 2017","5,339.130"
"Jul 31, 2017","5,589.860"
"Aug 31, 2017","5,524.460"
"Sep 29, 2017","5,571.310"
"Oct 31, 2017","5,580.470"
"Nov 30, 2017","5,546.700"
"Dec 29, 2017","5,490.330"
"Jan 31, 2018","5,984.130"
"Feb 28, 2018","5,504.630"
"Mar 30, 2018","5,399.780"
"Apr 30, 2018","5,558.720"
"May 31, 2018","5,042.900"
"Jun 29, 2018","5,178.330"
"Jul 31, 2018","5,379.020"
"Aug 31, 2018","5,061.010"
"Sep 28, 2018","5,059.540"
"Oct 31, 2018","4,718.330"
"Nov 30, 2018","4,807.420"
"Dec 31, 2018","4,629.030"
"Jan 31, 2019","4,936.000"
"Feb 28, 2019","5,038.060"
"Mar 29, 2019","4,957.240"
