Date,Taiwan
"Dec 31, 1987",100.000
"Jan 29, 1988",120.370
"Feb 29, 1988",147.080
"Mar 31, 1988",141.170
"Apr 29, 1988",172.970
"May 31, 1988",187.870
"Jun 30, 1988",200.700
"Jul 29, 1988",260.010
"Aug 31, 1988",323.150
"Sep 30, 1988",354.680
"Oct 31, 1988",269.320
"Nov 30, 1988",289.240
"Dec 30, 1988",219.650
"Jan 31, 1989",260.440
"Feb 28, 1989",295.960
"Mar 31, 1989",312.470
"Apr 28, 1989",347.970
"May 31, 1989",432.260
"Jun 30, 1989",418.280
"Jul 31, 1989",407.920
"Aug 31, 1989",423.160
"Sep 29, 1989",443.080
"Oct 31, 1989",435.490
"Nov 30, 1989",384.710
"Dec 29, 1989",406.090
"Jan 31, 1990",531.130
"Feb 28, 1990",499.020
"Mar 30, 1990",437.390
"Apr 30, 1990",386.930
"May 31, 1990",302.070
"Jun 29, 1990",223.170
"Jul 31, 1990",233.540
"Aug 31, 1990",154.910
"Sep 28, 1990",117.400
"Oct 31, 1990",142.100
"Nov 30, 1990",177.670
"Dec 31, 1990",182.000
"Jan 31, 1991",162.010
"Feb 28, 1991",204.050
"Mar 29, 1991",211.830
"Apr 30, 1991",248.630
"May 31, 1991",238.050
"Jun 28, 1991",249.410
"Jul 31, 1991",217.570
"Aug 30, 1991",194.590
"Sep 30, 1991",212.430
"Oct 31, 1991",196.080
"Nov 29, 1991",198.690
"Dec 31, 1991",205.080
"Jan 31, 1992",244.710
"Feb 28, 1992",226.580
"Mar 31, 1992",214.450
"Apr 30, 1992",203.750
"May 29, 1992",206.600
"Jun 30, 1992",208.180
"Jul 31, 1992",188.780
"Aug 31, 1992",177.420
"Sep 30, 1992",166.360
"Oct 30, 1992",169.060
"Nov 30, 1992",171.410
"Dec 31, 1992",156.560
"Jan 29, 1993",152.350
"Feb 26, 1993",201.050
"Mar 31, 1993",217.370
"Apr 30, 1993",206.650
"May 31, 1993",192.590
"Jun 30, 1993",179.120
"Jul 30, 1993",175.730
"Aug 31, 1993",172.090
"Sep 30, 1993",169.280
"Oct 29, 1993",181.130
"Nov 30, 1993",197.380
"Dec 31, 1993",289.030
"Jan 31, 1994",289.530
"Feb 28, 1994",253.640
"Mar 31, 1994",248.010
"Apr 29, 1994",271.180
"May 31, 1994",273.100
"Jun 30, 1994",279.140
"Jul 29, 1994",319.920
"Aug 31, 1994",333.780
"Sep 30, 1994",344.440
"Oct 31, 1994",318.160
"Nov 30, 1994",309.660
"Dec 30, 1994",349.080
"Jan 31, 1995",306.260
"Feb 28, 1995",315.730
"Mar 31, 1995",318.120
"Apr 28, 1995",290.500
"May 31, 1995",283.450
"Jun 30, 1995",269.260
"Jul 31, 1995",254.940
"Aug 31, 1995",230.350
"Sep 29, 1995",241.940
"Oct 31, 1995",232.280
"Nov 30, 1995",228.460
"Dec 29, 1995",246.720
"Jan 31, 1996",229.010
"Feb 29, 1996",233.280
"Mar 29, 1996",246.040
"Apr 30, 1996",307.540
"May 31, 1996",297.440
"Jun 28, 1996",338.070
"Jul 31, 1996",311.070
"Aug 30, 1996",324.070
"Sep 30, 1996",331.770
"Oct 31, 1996",321.290
"Nov 29, 1996",340.170
"Dec 31, 1996",346.150
"Jan 31, 1997",360.950
"Feb 28, 1997",382.910
"Mar 31, 1997",379.060
"Apr 30, 1997",403.180
"May 30, 1997",387.030
"Jun 30, 1997",439.620
"Jul 31, 1997",476.580
"Aug 29, 1997",456.980
"Sep 30, 1997",403.080
"Oct 31, 1997",315.480
"Nov 28, 1997",318.450
"Dec 31, 1997",324.370
"Jan 30, 1998",306.890
"Feb 27, 1998",372.110
"Mar 31, 1998",352.240
"Apr 30, 1998",319.050
"May 29, 1998",289.010
"Jun 30, 1998",271.040
"Jul 31, 1998",266.510
"Aug 31, 1998",221.420
"Sep 30, 1998",240.130
"Oct 30, 1998",270.980
"Nov 30, 1998",288.520
"Dec 31, 1998",257.430
"Jan 29, 1999",249.820
"Feb 26, 1999",261.810
"Mar 31, 1999",287.200
"Apr 30, 1999",312.260
"May 31, 1999",299.270
"Jun 30, 1999",366.210
"Jul 30, 1999",322.250
"Aug 31, 1999",361.930
"Sep 30, 1999",338.070
"Oct 29, 1999",349.770
"Nov 30, 1999",353.340
"Dec 31, 1999",393.120
"Jan 31, 2000",457.400
"Feb 29, 2000",437.870
"Mar 31, 2000",454.880
"Apr 28, 2000",402.860
"May 31, 2000",411.180
"Jun 30, 2000",382.350
"Jul 31, 2000",373.260
"Aug 31, 2000",349.760
"Sep 29, 2000",293.530
"Oct 31, 2000",255.470
"Nov 30, 2000",235.770
"Dec 29, 2000",216.620
"Jan 31, 2001",279.970
"Feb 28, 2001",259.680
"Mar 30, 2001",255.680
"Apr 30, 2001",237.630
"May 31, 2001",221.300
"Jun 29, 2001",214.710
"Jul 31, 2001",192.430
"Aug 31, 2001",199.530
"Sep 28, 2001",156.280
"Oct 31, 2001",172.820
"Nov 30, 2001",196.510
"Dec 31, 2001",239.310
"Jan 31, 2002",250.480
"Feb 28, 2002",238.590
"Mar 29, 2002",259.980
"Apr 30, 2002",254.350
"May 31, 2002",244.270
"Jun 28, 2002",223.840
"Jul 31, 2002",210.110
"Aug 30, 2002",199.900
"Sep 30, 2002",169.680
"Oct 31, 2002",188.410
"Nov 29, 2002",192.380
"Dec 31, 2002",180.790
"Jan 31, 2003",202.740
"Feb 28, 2003",178.320
"Mar 31, 2003",175.690
"Apr 30, 2003",170.820
"May 30, 2003",188.670
"Jun 30, 2003",203.010
"Jul 31, 2003",228.190
"Aug 29, 2003",248.570
"Sep 30, 2003",250.080
"Oct 31, 2003",267.250
"Nov 28, 2003",251.610
"Dec 31, 2003",257.710
"Jan 30, 2004",280.280
"Feb 27, 2004",291.350
"Mar 31, 2004",283.880
"Apr 30, 2004",264.820
"May 31, 2004",257.750
"Jun 30, 2004",250.730
"Jul 30, 2004",232.000
"Aug 31, 2004",249.480
"Sep 30, 2004",249.760
"Oct 29, 2004",249.100
"Nov 30, 2004",265.010
"Dec 31, 2004",283.030
"Jan 31, 2005",274.400
"Feb 28, 2005",290.680
"Mar 31, 2005",273.450
"Apr 29, 2005",269.790
"May 31, 2005",280.820
"Jun 30, 2005",289.560
"Jul 29, 2005",294.410
"Aug 31, 2005",276.810
"Sep 30, 2005",279.300
"Oct 31, 2005",259.970
"Nov 30, 2005",283.270
"Dec 30, 2005",303.570
"Jan 31, 2006",312.870
"Feb 28, 2006",311.140
"Mar 31, 2006",311.520
"Apr 28, 2006",342.750
"May 31, 2006",319.830
"Jun 30, 2006",314.280
"Jul 31, 2006",300.910
"Aug 31, 2006",311.980
"Sep 29, 2006",324.980
"Oct 31, 2006",327.720
"Nov 30, 2006",362.010
"Dec 29, 2006",367.020
"Jan 31, 2007",356.950
"Feb 28, 2007",363.250
"Mar 30, 2007",355.250
"Apr 30, 2007",354.440
"May 31, 2007",368.350
"Jun 29, 2007",405.620
"Jul 31, 2007",420.100
"Aug 31, 2007",409.050
"Sep 28, 2007",433.710
"Oct 31, 2007",457.210
"Nov 30, 2007",405.910
"Dec 31, 2007",400.510
"Jan 31, 2008",358.420
"Feb 29, 2008",411.590
"Mar 31, 2008",421.680
"Apr 30, 2008",439.420
"May 30, 2008",425.290
"Jun 30, 2008",377.240
"Jul 31, 2008",354.130
"Aug 29, 2008",350.790
"Sep 30, 2008",284.460
"Oct 31, 2008",231.500
"Nov 28, 2008",206.490
"Dec 31, 2008",216.770
"Jan 30, 2009",195.010
"Feb 27, 2009",202.740
"Mar 31, 2009",234.770
"Apr 30, 2009",275.630
"May 29, 2009",317.670
"Jun 30, 2009",293.540
"Jul 31, 2009",329.440
"Aug 31, 2009",320.690
"Sep 30, 2009",361.480
"Oct 30, 2009",346.590
"Nov 30, 2009",360.000
"Dec 31, 2009",390.720
"Jan 29, 2010",365.390
"Feb 26, 2010",351.990
"Mar 31, 2010",375.750
"Apr 30, 2010",385.320
"May 31, 2010",347.500
"Jun 30, 2010",340.850
"Jul 30, 2010",373.500
"Aug 31, 2010",368.850
"Sep 30, 2010",408.580
"Oct 29, 2010",419.760
"Nov 30, 2010",426.370
"Dec 31, 2010",479.520
"Jan 31, 2011",494.870
"Feb 28, 2011",451.430
"Mar 31, 2011",459.150
"Apr 29, 2011",489.630
"May 31, 2011",487.450
"Jun 30, 2011",467.050
"Jul 29, 2011",472.040
"Aug 31, 2011",429.450
"Sep 30, 2011",384.360
"Oct 31, 2011",410.680
"Nov 30, 2011",371.840
"Dec 30, 2011",382.900
"Jan 31, 2012",417.340
"Feb 29, 2012",448.360
"Mar 30, 2012",438.350
"Apr 30, 2012",420.040
"May 31, 2012",398.940
"Jun 29, 2012",396.850
"Jul 31, 2012",401.910
"Aug 31, 2012",413.820
"Sep 28, 2012",443.650
"Oct 31, 2012",416.540
"Nov 30, 2012",446.490
"Dec 31, 2012",450.510
"Jan 31, 2013",451.590
"Feb 28, 2013",453.370
"Mar 29, 2013",449.580
"Apr 30, 2013",467.720
"May 31, 2013",467.350
"Jun 28, 2013",456.760
"Jul 31, 2013",462.290
"Aug 30, 2013",461.170
"Sep 30, 2013",474.000
"Oct 31, 2013",495.100
"Nov 29, 2013",487.570
"Dec 31, 2013",494.550
"Jan 31, 2014",478.250
"Feb 28, 2014",486.410
"Mar 31, 2014",500.000
"Apr 30, 2014",505.940
"May 30, 2014",525.870
"Jun 30, 2014",551.810
"Jul 31, 2014",553.920
"Aug 29, 2014",575.340
"Sep 30, 2014",535.190
"Oct 31, 2014",548.580
"Nov 28, 2014",556.360
"Dec 31, 2014",544.260
"Jan 30, 2015",549.860
"Feb 27, 2015",570.010
"Mar 31, 2015",565.750
"Apr 30, 2015",591.310
"May 29, 2015",590.220
"Jun 30, 2015",572.690
"Jul 31, 2015",532.550
"Aug 31, 2015",491.260
"Sep 30, 2015",478.690
"Oct 30, 2015",505.370
"Nov 30, 2015",488.360
"Dec 31, 2015",484.570
"Jan 29, 2016",462.330
"Feb 29, 2016",481.250
"Mar 31, 2016",521.960
"Apr 29, 2016",494.240
"May 31, 2016",502.900
"Jun 30, 2016",527.190
"Jul 29, 2016",563.670
"Aug 31, 2016",575.190
"Sep 30, 2016",592.290
"Oct 31, 2016",600.840
"Nov 30, 2016",586.990
"Dec 30, 2016",579.490
"Jan 31, 2017",608.200
"Feb 28, 2017",636.610
"Mar 31, 2017",647.740
"Apr 28, 2017",661.050
"May 31, 2017",677.040
"Jun 30, 2017",705.990
"Jul 31, 2017",728.080
"Aug 31, 2017",740.490
"Sep 29, 2017",715.850
"Oct 31, 2017",761.270
"Nov 30, 2017",736.000
"Dec 29, 2017",744.700
"Jan 31, 2018",801.280
"Feb 28, 2018",777.060
"Mar 30, 2018",787.080
"Apr 30, 2018",751.100
"May 31, 2018",749.870
"Jun 29, 2018",739.340
"Jul 31, 2018",780.450
"Aug 31, 2018",789.650
"Sep 28, 2018",792.230
"Oct 31, 2018",698.770
"Nov 30, 2018",693.600
"Dec 31, 2018",683.920
"Jan 31, 2019",695.690
"Feb 28, 2019",728.740
"Mar 29, 2019",745.380
